"PC","eigenvalue","variance_explained"
"PC1",3.49984478320226,19.4435821289015
"PC2",2.61785708183421,14.5436504546345
"PC3",1.62849681971881,9.04720455399338
"PC4",1.4194953521849,7.88608528991612
"PC5",1.2407618075787,6.893121153215
"PC6",1.0601861631737,5.88992312874277
"PC7",1.00073481390356,5.55963785501978
"PC8",0.858167875739831,4.76759930966573
"PC9",0.799004165103842,4.43891202835468
"PC10",0.673688620874541,3.74271456041412
"PC11",0.610464227442982,3.39146793023879
"PC12",0.594030450216907,3.30016916787171
"PC13",0.443990896376096,2.46661609097831
"PC14",0.41993220672809,2.33295670404494
"PC15",0.359467371278376,1.99704095154653
"PC16",0.346059210264952,1.92255116813862
"PC17",0.315741491189519,1.75411939549733
"PC18",0.112076663188718,0.622648128826209
