"PC","eigenvalue","variance_explained"
"PC1",3.54070411291312,19.6705784050729
"PC2",2.41576975963379,13.4209431090766
"PC3",1.75807150449096,9.76706391383868
"PC4",1.31551719137012,7.30842884094513
"PC5",1.10156104205307,6.11978356696148
"PC6",1.02142954018948,5.67460855660821
"PC7",0.989028659558207,5.49460366421226
"PC8",0.916430462088759,5.09128034493755
"PC9",0.833706280911892,4.63170156062162
"PC10",0.72405515028898,4.02252861271656
"PC11",0.585400103389512,3.2522227966084
"PC12",0.574664602657908,3.19258112587726
"PC13",0.546695770785047,3.03719872658359
"PC14",0.489937808945679,2.72187671636489
"PC15",0.424045812719917,2.35581007066621
"PC16",0.396632928874195,2.2035162715233
"PC17",0.333461708550384,1.85256504750214
"PC18",0.0328875605789848,0.182708669883249
