"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"K00368",-0.377982875566568,0.0782268053194799,0.653743564077252,0.262317217002854,-0.0939393989238979,0.0848539044776971,0.0568401264949269,0.00054664840200303,-0.0692987108948067,0.459407217470569,0.0587599057911468,-0.0328814856295588,0.178039982695787,-0.151403285121974,0.204677079831691,-0.000824093433831635,0.136327999984717,-0.00845735749782216
"K00370",-0.588708733679524,0.121888785490449,-0.327525242788422,0.365397584578487,0.281045328818557,0.0104059353530407,-0.106825538047344,-0.013319441969502,0.131830855195802,0.158502818245006,0.18914006454798,-0.29880331656574,-0.108043209691738,-0.0963146827224325,-0.105950233838153,0.315406463129016,-0.0887267070827495,0.00205749694506987
"K00376",-0.444761928466708,0.0373201649925246,0.354525037089394,-0.413379701104066,0.0655432167030996,0.248637137770147,0.0211827132423122,0.255905997859644,0.000646779541532681,-0.288058978553164,0.513426685280338,-0.132983727420103,0.04818761316009,0.0334620440207843,-0.022959410190045,-0.0505030878446323,0.0347677655511558,0.0131168483713957
"K02567",-0.403077961368275,0.0638400888679189,0.34824389700038,-0.453857777081401,0.198366010784239,0.30254376742809,-0.205262174219526,0.0578128225725073,0.0917039876653192,-0.056716250696678,-0.486639182707291,-0.230168476661497,-0.0562774565803694,0.0852322171034113,0.0695685546983963,0.114209655083189,-0.0092113663090991,0.00367162834945864
"K02575",-0.257942210712748,0.118510101629145,-0.0410728272699821,0.354235795212907,0.600440929127998,0.257972180137771,-0.163874128210217,0.391835191598259,0.0178757610198116,-0.0244754586711673,-0.0727849005290408,0.404543209612136,-0.0292730133764144,-0.0494629525139229,-0.0328807566198806,-0.0972585417619461,0.0322538956429256,0.00520361980040671
"K03385",-0.0601741760545118,0.00572776513174841,0.183598001830456,-0.352942240103301,0.480226640431095,-0.324885994490141,-0.342347600966133,-0.52357378473794,0.215458451536728,0.0566347525950901,0.152702367951884,0.183823456863917,-0.00128045781820525,-0.0254273103005638,0.0469612915217779,-0.0266593333127025,0.0163276366017297,-0.000328946467236099
"K04561",-0.728103024077421,0.113639328928045,0.171543398678807,-0.0625141461764011,-0.229712989671422,-0.085333934175909,0.0986635530633457,0.0155665812808893,-0.0509490875009981,0.23956552638559,0.0532258768637655,0.268878431067889,-0.140244725118146,0.397566439600386,-0.056596251528148,0.049234331147282,-0.187055731423875,0.0113783085727037
"K07234",-0.674538087460169,0.0738147322610769,0.0349387042493219,0.312201564110152,-0.096185845631139,-0.200189520342338,0.000467318458864866,-0.103090417232023,0.117920804018013,-0.358283943265457,-0.119099398966051,0.0652757510024087,0.454771362385412,0.0680044178377271,-0.0294769829835681,0.0854408221587165,-0.022709190852079,-0.00769372019930159
"K07673",-0.658698641003925,0.113743749984051,-0.480420479718825,0.13974305136044,0.0904546012455294,-0.0239880199499022,-0.0160770681854564,-0.0772138806386193,0.0934255256242195,0.0717354781330528,-0.0158729066260826,-0.279159854286058,-0.0218882066856117,0.166948317934111,0.140722816320563,-0.375435899605559,0.0818844883069611,-0.00108433162023555
"K10535",-0.0797885087948207,0.0145011061602121,-0.187675893436311,0.143616831058402,-0.213950739296831,0.769586930541406,-0.111942588606975,-0.495812302697855,-0.0895372911292151,-0.0786384058894223,0.0704048003397819,0.139530305359373,-0.00605844195093537,-0.00484407930547361,0.0418265110798939,0.0208348104944327,-0.0170048017666882,0.00402301078183178
