"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"NirK",-0.435690345535753,-0.116852097413098,0.586698882449218,0.230946325097043,-0.115034841607544,0.0429616814079113,0.134746683524428,0.113924858109404,-0.103868388093643,0.0973662783296605,0.409406164252957,0.0787342373268679,-0.0154631929889464,-0.108604762275829,0.369562729354857,-0.0964920924352062,0.0268695507692724,-0.00535999557630053
"NarG",-0.541127986471353,-0.146882660352661,-0.388111562026639,0.489193635652587,0.0506381651831945,0.0820647350790778,-0.0129349919563367,0.0866936153534891,-0.0951879375939833,-0.0779582243443794,0.0420124628854239,-0.139866708885398,0.0228601221140391,0.0193098373129581,0.101067816886447,0.480694466114225,-0.00395862831897451,-0.00490678377003261
"NosZ",-0.562763945881956,-0.148868127260934,0.00884390787347476,-0.357779905263875,-0.0302642674432132,0.0037796962465949,0.0764549447065434,-0.0748856546297354,0.265100227309583,0.198606540536993,-0.00632560498639379,-0.57963021392046,0.0876107629781538,-0.258148134320108,-0.00638464213056131,-0.0212534973386053,-0.0049629701930654,-0.00999085609678743
"Nap",-0.325658289056314,-0.108342238994336,0.293389752697956,-0.143435626014278,0.257040744499377,-0.345952008890417,-0.423403063980448,-0.160463066479406,0.130320814222672,-0.592555089075178,0.0770910193844312,-0.0562346890133526,0.045406073425034,0.0335627162821406,0.0503551649593601,0.0158477797661897,0.0396619031328418,0.00525191999975251
"NarK",-0.222322722635075,-0.0497662467166915,-0.325183286261639,0.570137870413059,0.191540033265566,-0.0175337931057484,-0.101103975702187,-0.107539314514545,0.595231125861881,0.115967015419021,0.163008744678143,0.120498015743999,-0.0534774390605137,-0.00894140787361803,-0.0710856670066553,-0.203282635813277,-0.0181991850375301,-0.00497677161275274
"NrfA",-0.0121133493961856,0.00179713339274613,0.0553045978130817,-0.0549781921025233,0.793270603455348,-0.207573491350538,-0.264610767316775,0.199348960135027,-0.217187676893548,0.398882818769837,-0.0479297659810168,-0.000632237809569928,-0.0196634127892103,-0.0194565993906561,0.0453576795961467,0.000247518065398017,-0.0156985328537642,0.000529690098127341
"cNor",-0.711342809400053,-0.0665568355182279,0.197756741984986,-0.0936278098746564,-0.050829762390142,-0.00198501475953097,0.0250540972268933,0.0460427333912786,-0.109029844292593,0.132778509563575,0.305897925397365,0.0343527877606688,0.224160271413913,0.321363915615272,-0.396727279066063,0.0144275077981503,-0.0258713801848356,0.0169867635884247
"NosL",-0.640485883367054,-0.163899242423622,0.117175255808665,0.195544721349288,0.0251566382845913,0.124028391145515,0.0396185026971457,0.10132094593533,-0.0528919589946252,-0.0702690657526854,-0.435330300302981,0.242099815425403,0.396139472966368,-0.22814803581118,-0.0327965481386972,-0.103599714813063,0.0769646474236002,0.0229229836683306
"NorD",-0.556786312467602,-0.142875096249997,-0.421660915105067,0.179850880582821,-0.0449438086259525,0.0143959852895644,-0.0288521332503788,0.0471240532100167,-0.413918445514833,-0.155494574050251,-0.0818191035565874,-0.236955790784891,-0.201187856438553,0.146335121789622,0.0463054556223983,-0.362750646893122,-0.00997833150722678,-0.00890842621175052
"Hao",-0.0880929267438289,-0.0313966644756715,-0.061347521881663,-0.0297228166381079,-0.545165347102508,-0.065402847650643,-0.772490237328595,0.111313545127857,-0.00659792308473925,0.259599855697706,-0.0438542800051773,0.0546165961493797,0.00252262132589634,-0.025561761447372,0.0495004401473523,0.0159337200750117,-0.0148815121983058,0.00806655994053632
"NosD",-0.18585940075369,-0.0186744288274218,-0.0334409590517463,0.141740048230524,-0.160807904400015,-0.694895113849527,0.185403013990719,-0.557179670018852,-0.169228174676115,0.203893141619374,-0.084893985990103,0.0900931053604795,0.0068852474043463,-0.0410327374306354,0.0176249327249132,0.0411501368637447,-0.0285282506974805,-0.015933490625926
"NarK2",-0.185850434749022,-0.0633192403958432,0.0857959694725244,-0.0836500395623013,0.171728578422403,0.62923001339057,-0.207320469969295,-0.664498568264293,-0.136770795163454,0.0821730274984235,0.00702638597405808,0.0739306820452133,-0.0691955361954144,-0.00486682444121756,0.0248956759596282,0.0264321045589699,0.00517287409528957,-0.000287986947164269
"NirS",-0.512601327897395,-0.105295488390805,-0.295875923218024,-0.509218226059376,0.0143532831485203,-0.0128647620806468,0.136782038932989,0.0209958387523224,0.258253536709752,0.0958194858793483,-0.126005793618458,0.201156566394103,0.0297490503148358,0.342452748152427,0.325311080864187,0.022744002960787,0.0540868600681504,0.011779190863443
"NosF",-0.582161233212472,-0.13764123158123,-0.268307262454979,-0.38921746457599,0.00697627186025324,-0.0329345446687417,0.0547570906799645,0.121973429856679,-0.049695454413924,-0.0912919395226415,0.148631652675794,0.334988267609962,-0.318883386092291,-0.343030269839047,-0.148567394066923,0.056183272829806,-0.0958804088524197,-0.0276465444555193
"NosY",-0.393441930134691,-0.103062768700092,0.631538215896894,0.181390325476767,-0.0460456845141002,0.0180694957479404,0.049663317849875,0.0816969120809513,0.175534312532732,0.0585334850042287,-0.376834749415824,-0.0401450258556315,-0.412187151552429,0.147431320440037,-0.0937347465133442,0.0809390669461943,-0.0769627025413373,-0.0223975997634287
"bc1-sub1",-0.300793810471232,0.853350610494565,-0.0073138087105502,0.015015759818281,-0.00934633858241812,-0.0320686865012882,0.00889385642309813,-0.00839549785947904,-0.0022330430490042,0.0257400940240413,0.0110141689632681,-0.0171327179453777,-0.145388301571867,-0.0482479016186923,-0.0390374867632114,0.0208449517082173,0.304639924794905,0.245885327485992
"bc1-sub2",-0.22714220006877,0.8324693807981,0.0071522781325302,0.0061336927912279,0.0195758338333088,0.0389551241468935,-0.00721166529345048,-0.0104562279127364,0.0122331375853571,-0.0632566170844038,-0.0337567110194689,-0.00950420985142801,0.107160258550946,0.000255371002208954,0.0952332855791215,-0.0211252203323545,-0.469697362734712,0.0790871084221998
"bc1-sub3",-0.265832519819939,0.900014936602775,0.000739422532038561,2.91536894738402e-05,-8.4577058415739e-05,0.0195912502347116,-0.0328989163665919,0.0138988210421927,0.000613402939503723,-0.00348421122577402,-0.00947008349311589,0.0046072978061049,0.0171486125448457,0.00329575615412603,-0.00512364653461857,0.00125425157843851,0.144045953261121,-0.310549309129678
