gtdbId,K00368,K00370,K00376,K02567,K02575,K03385,K04561,K07234,K07673,K10535,K12266,K13771,K15864,K21563,K21564,contamination,completeness
GB_GCA_000016765.1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1.81,98.64
GB_GCA_000017245.1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0,100.0
GB_GCA_000018545.1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0,100.0
GB_GCA_000018565.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.82,98.18
GB_GCA_000023725.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
GB_GCA_000026125.1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0.6,99.92
GB_GCA_000176735.1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.38,99.46
GB_GCA_000193795.2,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.0,99.7
GB_GCA_000196815.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.27,97.67
GB_GCA_000198515.1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1.3,97.41
GB_GCA_000205985.2,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0.7,74.45
GB_GCA_000227275.1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.3,99.7
GB_GCA_000237975.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,99.0
GB_GCA_000296795.1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3.85,100.0
GB_GCA_000372225.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.14,73.45
GB_GCA_000381565.1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0.6,99.92
GB_GCA_000381625.1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0.87,97.39
GB_GCA_000411415.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.47,100.0
GB_GCA_000416275.1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0.92,96.75
GB_GCA_000421085.1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0,99.32
GB_GCA_000423665.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.72,98.71
GB_GCA_000447245.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,94.51
GB_GCA_000474255.1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1.12,99.68
GB_GCA_000525675.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,97.75
GB_GCA_000526255.1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.68,98.65
GB_GCA_000526415.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,97.58
GB_GCA_000619965.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,98.78
GB_GCA_000632805.1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,8.73,100.0
GB_GCA_000715605.1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0.43,99.57
GB_GCA_000715615.1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0.79,84.72
GB_GCA_000722615.1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0.39,99.61
GB_GCA_000751355.1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1.18,99.61
GB_GCA_000751835.1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1.21,99.87
